date,open,high,low,close,volume
2026-06-03,1308.9480145168118,1317.906594083847,1295.0124463014238,1307.15625,20012293
2026-06-04,1295.0124259474096,1305.1654340270677,1287.1487597049047,1297.699951171875,23474327
2026-06-05,1304.5,1306.0,1288.0,1291.0,17785223
2026-06-08,1277.0,1282.5999755859375,1259.199951171875,1263.300048828125,16494759
2026-06-09,1269.0,1274.199951171875,1257.5,1269.199951171875,23620214
2026-06-10,1275.0,1300.5,1254.4000244140625,1258.800048828125,21012796
2026-06-11,1258.0,1276.0,1253.199951171875,1263.0,13117486
2026-06-12,1277.0,1297.0,1262.5,1293.0,11988785
2026-06-15,1315.300048828125,1325.0,1303.300048828125,1307.0,18633321
2026-06-16,1313.4000244140625,1333.4000244140625,1306.4000244140625,1328.800048828125,18513223
2026-06-17,1333.0,1334.0,1317.0,1332.699951171875,10029170
2026-06-18,1330.0,1333.9000244140625,1322.0,1328.0999755859375,15494549
2026-06-19,1328.0,1338.199951171875,1305.300048828125,1309.5,24887034
2026-06-22,1316.699951171875,1344.9000244140625,1314.0999755859375,1326.5,12931213
2026-06-23,1328.9000244140625,1333.0,1304.0,1309.5,15400184
2026-06-24,1305.699951171875,1322.0,1297.5,1313.5999755859375,11030917
2026-06-25,1318.0,1328.0,1314.5999755859375,1318.0999755859375,12694362
2026-06-26,1318.0999755859375,1318.0999755859375,1318.0999755859375,1318.0999755859375,0
2026-06-29,1308.0,1313.699951171875,1292.5999755859375,1301.0,13757656
2026-06-30,1306.9000244140625,1306.9000244140625,1290.0,1293.9000244140625,15695263
2026-07-01,1298.9000244140625,1312.199951171875,1296.5,1308.0,7001401
2026-07-02,1310.0,1313.199951171875,1299.0,1303.5,17795024
2026-07-03,1312.0,1312.0,1303.5,1304.0,1381538
