date,open,high,low,close,volume
2021-08-02,1417.4642058801662,1423.8223478971256,1410.278682485059,1421.0352783203125,5553389
2021-08-03,1434.4918563493748,1444.6387082912352,1424.5627475551084,1441.6337890625,5513668
2021-08-04,1453.7401991220645,1463.146744783546,1427.5675389174712,1436.451416015625,6740391
2021-08-05,1436.6692958051754,1451.0403436262031,1434.5354554748603,1440.19677734375,5420536
2021-08-06,1443.201464252009,1446.380535210929,1431.8788215028985,1437.27880859375,3754855
2021-08-09,1446.6853193592076,1452.3030494440573,1433.9691421507919,1448.6885986328125,5018477
2021-08-10,1452.7822488331904,1463.2339196881055,1446.7290319910098,1460.8387451171875,6846517
2021-08-11,1458.7048011852285,1466.7177057432823,1452.7821455937024,1461.0999755859375,4899639
2021-08-12,1462.4934728122273,1477.6048241977232,1458.0079432401938,1471.5950927734375,5659579
2021-08-13,1478.0405554063918,1500.2503575058986,1473.076053935639,1491.279296875,5612790
2021-08-16,1487.359618942514,1498.0290315167445,1472.0305249977998,1484.4854736328125,4564109
2021-08-17,1484.0499890055655,1523.2437495245933,1468.9386381583163,1516.92919921875,9510390
2021-08-18,1505.9116898779487,1528.9924647661878,1504.1697446033645,1509.7874755859375,6686090
2021-08-20,1494.6756989751916,1519.846822339808,1494.6756989751916,1509.3515625,6206972
2021-08-23,1511.7906467286912,1526.9455907943864,1508.524499573149,1514.403564453125,6189051
2021-08-24,1524.202105907108,1530.2989143307364,1491.7147842075274,1498.813232421875,7602939
2021-08-25,1496.3307234273852,1521.5018494102508,1496.3307234273852,1511.6163330078125,6153253
2021-08-26,1510.2664667041324,1520.718137753988,1498.072850479301,1504.779296875,5302248
2021-08-27,1502.427583260766,1504.7791665153063,1485.1822849945138,1488.31787109375,6698514
2021-08-30,1483.3098187310713,1496.8969690174113,1472.2919948958422,1478.9549560546875,6559667
2021-08-31,1480.7840546962734,1493.7179762587919,1468.3291042613178,1486.2711181640625,12255438
2021-09-01,1488.927299134583,1488.927299134583,1457.26747405545,1461.27392578125,7801974
2021-09-02,1460.9257408190936,1475.688788882233,1448.1224872534362,1471.15966796875,6830050
2021-09-03,1477.212786491816,1485.835328224775,1467.0659367338824,1481.21923828125,5339139
2021-09-06,1485.1389236872342,1508.5245163164989,1480.0872401693016,1507.1309814453125,4876026
2021-09-07,1506.7823763845429,1511.0501627608223,1484.13709211518,1486.4451904296875,3520341
2021-09-08,1481.3937848238409,1481.3937848238409,1465.8033533949595,1474.7744140625,4584896
2021-09-09,1468.372535490299,1476.2112878647204,1465.1063886676236,1473.3370361328125,3331674
2021-09-13,1465.8467121859994,1481.9597033775865,1459.0530841826737,1473.598388671875,4662374
2021-09-14,1477.1255533534795,1477.1255533534795,1462.0142039470077,1468.590087890625,4945167
2021-09-15,1474.7743181658348,1493.8050477371864,1472.1178092741352,1490.6259765625,4062344
2021-09-16,1493.891966210481,1497.4194473085083,1473.2063696575788,1482.6129150390625,3246568
2021-09-17,1478.0405512615182,1496.3309764686437,1467.1098022407282,1473.0760498046875,7454864
2021-09-20,1467.5885506094764,1487.3595823241576,1461.4481524246728,1470.07080078125,5660743
2021-09-21,1480.6532560868934,1503.9517705576725,1467.2838494209095,1496.72265625,4672222
2021-09-22,1495.4596345711595,1514.533951698331,1492.0193360644232,1495.37255859375,4553892
2021-09-23,1508.5244539217945,1519.8470970516926,1499.030831879671,1517.7132568359375,3826090
2021-09-24,1531.1698461513333,1557.2990244133016,1526.3359056449099,1536.2650146484375,8280446
2021-09-27,1540.5323596964495,1540.7501027861592,1496.4175884572815,1499.0740966796875,5045337
2021-09-28,1489.3630166815442,1489.3630166815442,1458.878978328413,1469.417724609375,6557197
2021-09-29,1445.1611060324121,1481.872617800693,1441.4594729447897,1473.9031982421875,7792548
2021-09-30,1483.2661787983272,1483.2661787983272,1454.6111620660795,1459.0531005859375,6914031
2021-10-01,1450.2563356034423,1462.3192838563787,1446.9031126334762,1450.2999267578125,5733906
2021-10-04,1456.7016848793514,1470.2017602848102,1450.517800635024,1462.145263671875,2947154
2021-10-05,1455.3952012552013,1483.2227330420862,1448.4274205190902,1474.3824462890625,4373310
2021-10-06,1482.4821661210055,1488.4918972098776,1454.5239721126366,1457.615966796875,4271698
2021-10-07,1469.330441448408,1484.3111242274608,1460.3158983561343,1472.8143310546875,5476108
2021-10-08,1485.22571554193,1508.0887415105421,1479.2595757436197,1501.42578125,4738376
2021-10-11,1464.975834271688,1506.7825168192749,1449.036994022464,1472.77099609375,8840633
2021-10-12,1460.6209130640477,1471.072583282753,1447.5563252906663,1467.7193603515625,7439300
2021-10-13,1477.1256310763652,1492.5419066804288,1463.2772546739036,1488.666015625,7104171
2021-10-14,1527.6857924741366,1553.4665576738048,1479.085483572147,1494.37109375,19655776
2021-10-18,1515.4922131177411,1566.8795927579404,1515.4922131177411,1560.9134521484375,13438109
2021-10-19,1579.944155219386,1597.799091923905,1552.3343687944996,1587.0426025390625,10324260
2021-10-20,1593.3570895202022,1609.5571565198998,1562.5682333583247,1569.7972412109375,5876115
2021-10-21,1579.9441517799685,1579.9441517799685,1521.4583257794832,1527.3809814453125,8779629
2021-10-22,1524.1149349651396,1535.6988064564907,1486.7501901182247,1497.898681640625,7369809
2021-10-25,1499.858350257659,1506.564796489911,1469.5048712675496,1487.229248046875,5905209
2021-10-26,1502.6062654350915,1517.1485436893581,1490.1727607226414,1497.0264892578125,5871709
2021-10-27,1501.7713769207796,1523.782638320306,1494.785823536902,1519.21337890625,5090259
2021-10-28,1510.7781326616437,1515.5230879740864,1486.789920282188,1497.202392578125,5329972
2021-10-29,1492.8966047069405,1504.8467856229756,1459.5503108556832,1465.4375,5875091
2021-11-01,1474.0048022483252,1500.1018935472132,1472.6867651673283,1493.8193359375,3636806
2021-11-02,1489.3819492239559,1499.4429230262488,1481.7812470277015,1491.93017578125,3471772
2021-11-03,1501.6835397594302,1509.1084388738689,1492.896626127134,1495.9720458984375,3530713
2021-11-04,1506.955720487767,1508.713103252184,1498.1688066656807,1501.419921875,483407
2021-11-08,1520.1360112691098,1529.8016159650406,1496.4113451972798,1526.7261962890625,5245903
2021-11-09,1524.3100142140984,1537.710059014078,1516.621463919028,1531.119873046875,4016134
2021-11-10,1516.6214263051052,1538.544734840755,1513.0626830662195,1529.054931640625,4780368
2021-11-11,1522.7282608636551,1528.703405453859,1501.6836441561402,1523.035888671875,4731349
2021-11-12,1531.559300788472,1566.575135983444,1527.2098207220727,1564.24658203125,5069009
2021-11-15,1565.9158372510615,1581.6444339073435,1560.1164957791602,1570.353271484375,4354074
2021-11-16,1572.8576289550256,1589.508788323187,1561.4346405883132,1574.878662109375,6034233
2021-11-17,1575.0982330141132,1583.4018234229952,1564.6856546363958,1570.6168212890625,4732492
2021-11-18,1565.4764129337543,1572.374118249365,1545.6180108247017,1563.5433349609375,4326924
2021-11-22,1567.5855143323686,1568.815703789317,1538.7205222501445,1545.9697265625,6621839
2021-11-23,1524.6172873290966,1535.2934083156665,1502.5621566574846,1526.198974609375,8436160
2021-11-24,1528.9230418655106,1529.3623875671963,1483.2310888902196,1490.2606201171875,7333061
2021-11-25,1493.7753000534872,1516.7969705965193,1491.0952485220696,1513.4580078125,4476260
2021-11-26,1496.0161123736239,1509.8993723813282,1479.716343711144,1486.4383544921875,4494181
2021-11-29,1485.867016073617,1504.3195337185286,1466.667632262169,1490.5679931640625,3942776
2021-11-30,1497.7733686584895,1520.0481727071376,1493.819257622796,1504.8907470703125,14808963
2021-12-01,1506.9558896878457,1530.5927119756113,1505.1985067261105,1506.8680419921875,5193264
2021-12-02,1506.9556323902027,1538.1491746350146,1503.7483875802125,1536.172119140625,5559574
2021-12-03,1556.2503551294296,1569.914049638286,1522.3768651886874,1525.012939453125,6754012
2021-12-06,1520.1360551467185,1523.6068431192248,1486.3064377344938,1489.6455078125,3991449
2021-12-07,1494.741848225563,1515.6547454589877,1488.5031610337503,1504.0120849609375,4202122
2021-12-08,1522.7723363402492,1546.3213109323074,1522.4208382954744,1540.6536865234375,3029169
2021-12-09,1545.6181864523098,1554.7565985466379,1530.680432518433,1549.5283203125,2082171
2021-12-10,1546.496909194259,1549.7920020405534,1534.1952292347592,1545.837890625,1823469
2021-12-13,1552.691619157812,1556.4699276693766,1527.8685881008832,1533.0089111328125,4040584
2021-12-14,1520.9269292908916,1549.1329011030184,1502.8697785484514,1539.59912109375,4768144
2021-12-15,1533.3164478312353,1535.9085444800232,1512.4035502224383,1523.8265380859375,3053149
2021-12-16,1548.8254519662987,1561.9618457823942,1544.7395154133753,1556.689697265625,4481031
2021-12-17,1599.2180996987008,1618.5493074972565,1587.5754404563888,1599.9649658203125,18887243
2021-12-20,1583.1382500746142,1607.6977390246545,1570.4851797435072,1580.677978515625,5773891
2021-12-21,1582.523173111217,1615.0347541246067,1582.523173111217,1591.8372802734375,5353584
2021-12-22,1603.6116727640501,1607.258263225774,1592.4962060182195,1603.3480224609375,4156428
2021-12-23,1609.1035837520574,1635.771845585297,1605.3691454006876,1632.257080078125,4112933
2021-12-24,1645.7451196749826,1648.2054986567352,1629.0939594879846,1637.4415283203125,3780347
2021-12-27,1634.3660458305121,1647.1070714566104,1621.2296519691486,1639.77001953125,2647733
2021-12-28,1652.5548702377228,1665.9110438520706,1650.5339443784728,1658.9693603515625,3340933
2021-12-29,1655.0152900742216,1664.0658546078334,1648.7766024427483,1656.816650390625,3236635
2021-12-30,1655.8940269931556,1678.124963441618,1646.9752873799528,1663.2310791015625,4584738
2021-12-31,1660.7268115874554,1668.0638636147924,1644.6028452130947,1658.749755859375,4619420
2022-01-03,1658.749899209766,1681.8595288444444,1658.749899209766,1668.15185546875,3329616
2022-01-04,1668.1518193720126,1675.3571539606305,1650.1826212731244,1668.7669677734375,3921999
2022-01-05,1669.5138489401327,1672.062075740944,1616.7923589736022,1620.8782958984375,6995719
2022-01-06,1606.2478877431283,1606.2478877431283,1581.6445284122708,1597.2852783203125,6449205
2022-01-07,1595.2202481604722,1613.2773992100788,1587.619653412898,1594.2098388671875,4834389
2022-01-10,1594.8248209393573,1643.0649981325935,1593.0674382165591,1626.238037109375,7857560
2022-01-11,1629.9725624667992,1643.1529335918676,1625.7109305887875,1630.499755859375,5142287
2022-01-12,1642.1865927294134,1659.848270716583,1634.3662167987532,1649.6993408203125,5362535
2022-01-13,1673.9071309319909,1680.497316486841,1639.9456865869017,1666.701904296875,14277630
2022-01-14,1653.6970874523536,1698.510345401381,1652.8183961200198,1695.3031005859375,7688506
2022-01-17,1703.387453946787,1716.8753470487895,1696.3139444514936,1704.22216796875,5262464
2022-01-18,1688.9329161779824,1709.0549730457055,1679.574830220187,1687.7467041015625,3690315
2022-01-19,1683.572566076713,1683.572566076713,1636.8701010507093,1640.5606689453125,5747770
2022-01-20,1620.3069609598556,1623.8217266018507,1595.2642557606387,1602.469482421875,5533463
2022-01-21,1577.2509740263736,1588.6739615819963,1560.5558383681557,1569.0791015625,8252758
2022-01-24,1550.89025964962,1554.097504585174,1518.3786791357186,1526.1112060546875,7116712
2022-01-25,1517.1485371127924,1528.923023226851,1494.214713216816,1513.2384033203125,9137653
2022-01-27,1495.5328367763693,1502.2987179861893,1463.0212533681874,1474.971435546875,11231734
2022-01-28,1477.0800182432213,1517.9831395830604,1475.7619813441345,1481.649169921875,10998502
