date,open,high,low,close,volume
2021-08-02,268.6506014474966,271.9390876251668,265.933032041061,270.5003662109375,9247796
2021-08-03,275.866984299282,275.866984299282,271.3681712855169,273.7660217285156,10331214
2021-08-04,275.6385797472707,275.86694642477465,271.43662730583964,272.5784606933594,9018712
2021-08-05,272.89820613122447,280.6626739207321,272.89820613122447,274.45111083984375,22588728
2021-08-06,275.75274247389575,276.9630969249111,272.3500736580732,273.12652587890625,10540400
2021-08-09,274.040013004743,276.7804131347904,271.98471290720744,272.5784606933594,9293502
2021-08-10,273.30928709998494,278.12781906016187,270.88857769538834,275.7984619140625,14055564
2021-08-11,274.9078192297919,277.00878152510234,273.33208356991315,274.6109313964844,8565026
2021-08-12,274.9535016561145,278.1049732078739,274.33692272836737,276.7119140625,7905016
2021-08-13,276.7803877730567,283.38018972353115,276.7803877730567,281.1193542480469,16729368
2021-08-16,281.3934206443208,283.58576314152884,278.8357248999686,280.4571228027344,7144852
2021-08-17,280.32008961900567,290.96197094893927,279.15542516824826,289.9800109863281,23645544
2021-08-18,290.3682327370106,291.94396839957733,285.27564463778003,287.4679870605469,13847154
2021-08-20,284.3164814169331,288.63261671018637,282.2611815512685,283.1974792480469,12341386
2021-08-23,285.9151177929547,290.9163542626154,284.7732842554429,287.216796875,14072750
2021-08-24,290.4823749482543,290.4823749482543,285.0472375996079,289.3633728027344,8967436
2021-08-25,290.02568158095977,293.5881961888006,287.53647921093017,288.4956359863281,12815436
2021-08-26,288.74683458580085,291.62424916666805,285.91508219003003,287.262451171875,8416702
2021-08-27,287.513666126407,290.4824331316836,285.5953803322541,290.00286865234375,8743108
2021-08-30,290.4596204169432,292.0810184624468,287.99324882885645,288.8610534667969,8743710
2021-08-31,289.8430122391875,293.47404844163407,287.2396540910137,292.7432861328125,15591816
2021-09-01,294.04498053451994,295.6663786570327,290.13991523190555,293.2456970214844,9450444
2021-09-02,294.59303502169,300.0738356732563,292.65191812426025,297.5389709472656,9077556
2021-09-03,298.246925648537,299.93684489143,296.64835866573475,299.2060546875,7549940
2021-09-06,299.9139496302671,314.5522471513374,299.9139496302671,313.52459716796875,24676832
2021-09-07,315.14603492813194,315.14603492813194,307.26738405492864,307.9524841308594,12812218
2021-09-08,308.47773878479404,308.47773878479404,301.4440335186417,302.4488525390625,13432462
