date,open,high,low,close,volume
2023-03-09,184.7278056589579,187.28533312080012,178.7304686513036,180.10836791992188,26582800
2023-03-10,179.43431504040515,183.16159418141785,177.2435614078917,177.94737243652344,25665000
2023-03-13,176.41083178227044,182.1801597351484,173.29816667086516,179.32522583007812,24728000
2023-03-14,185.94708314354665,192.62841563950278,184.93595819735492,192.33102416992188,41642600
2023-03-15,191.27033106859906,196.05828682863768,189.17869840894608,196.02854919433594,42123600
2023-03-16,196.53410718154342,203.96881839258782,194.38299921959626,203.1460418701172,50447100
2023-03-17,198.81410277601756,200.14243431213578,193.72875509737597,193.90719604492188,50141100
2023-03-20,196.7521936752625,197.62453796620042,191.95433032702135,196.08802795410156,25186300
2023-03-21,201.43114769852076,201.77810701048668,196.22684877480276,200.40020751953125,31827000
2023-03-22,200.7372186543796,205.56482001084692,197.93185225263778,198.0706329345703,28477800
2023-03-23,201.07425714388052,206.07039199137296,200.39026123164382,202.50172424316406,27389700
2023-03-24,203.39388295313782,205.77299981949574,201.77808253088455,204.21665954589844,27716400
2023-03-27,203.02710138580258,204.06796403208844,199.6071370845429,201.07424926757812,18527200
2023-03-28,198.40765937001166,199.2800036835634,196.17724594410166,198.93304443359375,19127300
2023-03-29,201.78798215208548,203.9291827103764,200.7768571452326,203.56240844726562,18851100
2023-03-30,201.60956435729426,206.27855492955837,201.0544416258621,206.03073120117188,22608300
2023-03-31,205.43596391529096,210.3230405925682,204.97005409451702,210.0950469970703,25440300
2023-04-03,207.02202167585494,211.63155200058463,206.387593549827,211.2152099609375,17924600
2023-04-04,211.53243644925917,214.35763320963352,210.68982966080756,212.85086059570312,21026400
2023-04-05,212.2857781628593,213.31673323896115,208.11243547048335,209.63902282714844,19396600
2023-04-06,207.42847997116294,215.05154098619485,206.83369691727685,214.21885681152344,26104400
2023-04-10,212.84092431935147,213.78265140351988,208.82617714372924,212.8805694580078,16106100
2023-04-11,213.60421896645255,214.1395266783531,211.5522464067262,211.98841857910156,16710100
2023-04-12,212.96979959128493,214.9523894555701,210.72947848998837,212.13711547851562,18972200
2023-04-13,213.85206116832398,219.22487812893516,213.81241602466395,218.43185424804688,23310400
2023-04-14,215.98332984258553,220.17650288269624,215.656200722299,219.56190490722656,21591200
2023-04-17,217.87666982053318,219.05631301145118,215.23983724043396,216.95477294921875,15481900
2023-04-18,217.99567564546845,218.52106075783294,214.32788736305116,215.99325561523438,12281000
2023-04-19,211.61172796314864,215.43812696265397,211.07642023535394,213.8223114013672,15898100
2023-04-20,211.62162937104753,214.8631679041083,210.91781846805821,211.2152099609375,16475400
2023-04-21,208.38008043860845,211.55222068017963,207.75555989265803,211.0367431640625,17717200
