date,open,high,low,close,volume
2026-06-03,2070.9353670832684,2078.4589383211337,2051.334687643431,2069.549560546875,1544973
2026-06-04,2067.9655912455964,2089.64498066566,2052.621662732285,2058.462158203125,2142735
2026-06-05,2065.688783694319,2106.07801320051,2056.284440039605,2100.138427734375,1822999
2026-06-08,2084.101554867211,2103.603145099428,2070.440460223743,2088.853271484375,1601497
2026-06-09,2098.3565153522595,2117.0663546833757,2088.8533235633454,2111.32470703125,1460636
2026-06-10,2113.403324412981,2182.6984855334144,2112.017517863509,2147.655029296875,2325534
2026-06-11,2142.2104294070446,2143.2003602893956,2113.7994614200466,2118.254150390625,1178896
2026-06-12,2129.539277901612,2157.455280606382,2123.40175473256,2146.962158203125,1156153
2026-06-15,2177.848007096508,2188.7372471319904,2128.351461480678,2134.39013671875,1439449
2026-06-16,2139.2405659215233,2186.7572467009,2138.3497248298445,2177.748779296875,1337309
2026-06-17,2178.9369260000276,2202.2003013528906,2161.0190806510564,2175.47216796875,1511401
2026-06-18,2186.460250293131,2199.2305034441215,2174.68016968817,2196.16162109375,1120482
2026-06-19,2187.3514048487905,2188.34133574496,2157.950263886682,2172.50244140625,1508994
2026-06-22,2181.5106513903265,2185.9653403900866,2160.524164883483,2162.89990234375,765860
2026-06-23,2160.10009765625,2179.699951171875,2156.0,2160.10009765625,710082
2026-06-24,2160.0,2166.0,2140.0,2157.800048828125,942271
2026-06-25,2161.0,2200.89990234375,2161.0,2174.199951171875,1898262
2026-06-26,2174.199951171875,2174.199951171875,2174.199951171875,2174.199951171875,0
2026-06-29,2172.0,2189.89990234375,2143.0,2151.300048828125,1423514
2026-06-30,2151.0,2151.300048828125,2114.199951171875,2118.199951171875,2364422
2026-07-01,2133.5,2190.0,2120.199951171875,2182.0,2497576
2026-07-02,2186.0,2216.0,2179.199951171875,2210.60009765625,2585362
2026-07-03,2224.89990234375,2239.300048828125,2204.60009765625,2206.39990234375,240980
